BarChartType,ModelName,SamplingTarget,SamplingMethod,DownsamplingLevel,RunIndex,MeanDiff,VarianceDiff,TotalRows
4,ResNet50,Ratio,COV,2,4,-0.0015373725000000027,0.0008373909598892365,20000
4,VGG19,Ratio,ADV,16,4,-0.12086736599999999,0.02613212005100466,20000
1,VGG19,Height,IID,8,4,0.01727464,0.002509786829141862,20000
2,VGG19,Height,OOD,2,3,0.0202510905,0.0013551421403228152,20000
4,ResNet50,Height,ADV,8,4,-0.0002459865000000013,0.03843118854335406,20000
1,VGG19,Height,OOD,16,3,0.22982224850000002,0.057958043504224295,20000
3,VGG19,Ratio,COV,4,0,8.426150000000068e-05,0.000253376417035472,20000
1,VGG19,Ratio,IID,2,1,-0.013430116,9.172658172562973e-05,20000
1,ResNet50,Ratio,ADV,4,3,0.067700556,0.007219343599410808,20000
3,ResNet50,Height,OOD,2,1,0.06795483999999999,0.01462463072472064,20000
1,ResNet50,Height,COV,2,2,-0.0030982635000000014,0.001391456466252884,20000
2,ResNet50,Height,IID,4,1,-0.0997394605,0.04176158409493874,20000
5,ResNet50,Height,OOD,8,0,0.24026027399999997,0.08312564110954035,20000
3,VGG19,Height,ADV,8,1,-0.26794208199999997,0.10465751389197964,20000
4,VGG19,Ratio,ADV,2,2,0.009876286999999996,0.0004347218619967306,20000
2,ResNet50,Ratio,COV,8,0,0.012082500999999999,0.001509140549292461,20000
5,ResNet50,Height,ADV,16,2,-0.299640213,0.0913130693455425,20000
1,ResNet50,Height,OOD,16,3,0.159569828,0.05836528051599637,20000
1,ResNet50,Height,COV,4,4,-0.014980031000000003,0.002274070805429306,20000
3,ResNet50,Height,COV,8,2,-0.0373894605,0.009430467201464047,20000
1,ResNet50,Height,OOD,8,1,0.11870451249999998,0.04079167527539603,20000
5,ResNet50,Height,COV,2,3,-0.0024794120000000007,0.0012443228903287692,20000
5,VGG19,Height,COV,4,3,-0.01428297,0.004084611459742111,20000
2,ResNet50,Ratio,OOD,2,3,-0.0789957225,0.015354083476521733,20000
5,ResNet50,Ratio,IID,2,0,-0.0018800369999999987,0.0008542474609516794,20000
4,VGG19,Ratio,ADV,4,4,-0.0101165785,0.001076741687202695,20000
4,VGG19,Height,IID,4,0,0.005125256500000001,0.0005759554920288107,20000
2,VGG19,Ratio,IID,16,4,0.05859652799999999,0.008165176716561024,20000
4,VGG19,Ratio,IID,2,0,0.0019813925000000004,0.0002682029756147227,20000
1,ResNet50,Ratio,OOD,16,1,-0.3838229185,0.05815503846012046,20000
4,VGG19,Height,ADV,2,4,0.006056465999999998,0.0010145136977357222,20000
5,ResNet50,Ratio,ADV,4,4,0.008776563499999999,0.004994228120541508,20000
5,VGG19,Ratio,OOD,2,2,-0.06287632500000001,0.010688775139481282,20000
4,ResNet50,Ratio,COV,4,2,0.004216235999999998,0.0012497425409993533,20000
3,ResNet50,Ratio,IID,8,4,0.008701640999999996,0.0028973208227582566,20000
1,VGG19,Ratio,ADV,2,3,0.0076464889999999985,0.00028904481438359937,20000
1,ResNet50,Ratio,IID,4,1,-0.009127061,0.000555776050204791,20000
2,VGG19,Height,COV,8,0,0.017505289000000004,0.0033725723939561966,20000
3,VGG19,Height,IID,8,3,-0.014469042500000001,0.004165627776077002,20000
2,ResNet50,Height,ADV,4,3,-0.06140691,0.02382858834650922,20000
5,VGG19,Ratio,OOD,16,4,-0.491298197,0.06897007955489733,20000
3,VGG19,Ratio,COV,2,4,0.0007395379999999979,0.00019947230522181643,20000
2,VGG19,Height,COV,8,2,-0.025213525,0.005845346528420779,20000
1,ResNet50,Ratio,IID,4,3,-0.00040666700000000275,0.00039750037667994934,20000
3,VGG19,Height,IID,8,1,-0.0965984685,0.03819198059001899,20000
2,ResNet50,Height,ADV,4,1,-0.0698812615,0.0316173762829478,20000
2,VGG19,Height,OOD,16,4,0.1166504355,0.07034042331402132,20000
1,VGG19,Ratio,ADV,2,1,0.0013713444999999993,0.00014556467544109123,20000
4,ResNet50,Ratio,COV,4,0,0.0027208560000000007,0.0013232950654605486,20000
3,ResNet50,Ratio,IID,16,4,0.0521061695,0.016798492243554508,20000
1,ResNet50,Ratio,OOD,16,3,-0.388302134,0.04746831979482565,20000
4,VGG19,Ratio,IID,2,2,0.004627204999999998,0.000441492990117481,20000
5,VGG19,Ratio,OOD,2,0,-0.033787312,0.004083164683908876,20000
5,ResNet50,Ratio,IID,2,2,-8.944650000000181e-05,0.001621922060781686,20000
2,ResNet50,Ratio,OOD,2,1,-0.10825604650000001,0.02594232057451346,20000
5,VGG19,Height,COV,4,1,-0.0011590970000000006,0.0015630168848088325,20000
4,VGG19,Height,IID,4,2,-0.07195245750000001,0.030958456220266797,20000
5,VGG19,Height,OOD,8,4,0.21223020299999998,0.06719769144861107,20000
3,ResNet50,Height,COV,8,0,-0.022935956499999997,0.007465673692969712,20000
5,ResNet50,Height,COV,2,1,0.011358395499999998,0.001813689286644908,20000
