BarChartType,ModelName,SamplingTarget,SamplingMethod,DownsamplingLevel,RunIndex,TotalRows,MeanDiff,VarianceDiff,MaxDiff,MinDiff
3,ResNet50,Height,OOD,2,0,20000,0.08009721599999998,0.007553915375388141,0.48273000000000005,0.0
1,ResNet50,Ratio,ADV,4,2,20000,0.10920476949999999,0.012948321666780305,0.4641799999999999,0.0
5,ResNet50,Height,COV,4,4,20000,0.033166613,0.003409968032179845,0.43096,0.0
1,VGG19,Ratio,IID,2,0,20000,0.009961817999999999,5.730329821978724e-05,0.12971999999999995,0.0
1,VGG19,Height,OOD,16,2,20000,0.17965664850000002,0.016612328433834152,0.5736399999999999,1.0000000000065512e-05
3,VGG19,Ratio,COV,4,1,20000,0.0108566525,8.749633581603435e-05,0.10213000000000005,0.0
2,VGG19,Height,OOD,2,2,20000,0.040167772,0.002377123321672101,0.22804999999999997,0.0
2,ResNet50,Height,ADV,2,4,20000,0.03378979049999999,0.002633186322127213,0.3449,0.0
3,VGG19,Ratio,OOD,8,4,20000,0.435461346,0.07832002307160219,0.88912,0.0
1,VGG19,Ratio,ADV,4,4,20000,0.014902169500000003,0.00020217930565355298,0.20240000000000002,0.0
4,VGG19,Height,ADV,4,3,20000,0.082773479,0.012608347810307056,0.5578099999999999,9.999999999982245e-06
5,VGG19,Ratio,COV,8,0,20000,0.014604314500000002,0.00045275639752996637,0.30256000000000005,0.0
5,ResNet50,Ratio,OOD,16,1,20000,0.388123236,0.05845306712147419,0.88478,0.0
5,ResNet50,Ratio,ADV,2,3,20000,0.0264853635,0.0008660580526304967,0.38564000000000004,0.0
5,ResNet50,Ratio,OOD,16,0,20000,0.30013257299999996,0.05538693835853752,0.7901,0.0
5,ResNet50,Ratio,ADV,2,2,20000,0.026770308,0.0009202671638533161,0.43875000000000003,0.0
5,VGG19,Ratio,OOD,4,4,20000,0.304522173,0.04724282028204231,0.71125,0.0
5,VGG19,Ratio,COV,8,1,20000,0.019571214500000003,0.001033979920216004,0.35353,0.0
4,VGG19,Height,ADV,4,2,20000,0.204716405,0.07225441090676085,0.92403,0.0
4,ResNet50,Ratio,COV,2,4,20000,0.0188380775,0.0004848636838331823,0.36690999999999996,0.0
4,VGG19,Ratio,ADV,16,4,20000,0.162417479,0.014361014174773217,0.57758,1.0000000000010001e-05
1,VGG19,Height,IID,8,4,20000,0.028096,0.002018790250442511,0.28664999999999996,0.0
2,VGG19,Height,OOD,2,3,20000,0.030065700499999997,0.0008612777669876509,0.17046000000000006,0.0
4,ResNet50,Height,ADV,8,4,20000,0.1479598885,0.016538025789642072,0.6632499999999999,1.0000000000010001e-05
1,VGG19,Height,OOD,16,3,20000,0.2643392365,0.040900224565470496,0.75672,1.999999999990898e-05
3,VGG19,Ratio,COV,4,0,20000,0.010157333499999999,0.0001502069347315148,0.19338,0.0
1,VGG19,Ratio,IID,2,1,20000,0.014232781,6.952143224765183e-05,0.10455999999999999,0.0
1,ResNet50,Ratio,ADV,4,3,20000,0.088407779,0.0039866118578200304,0.38424,1.0000000000010001e-05
3,ResNet50,Height,OOD,2,1,20000,0.093001029,0.010593098032452685,0.52877,0.0
1,ResNet50,Height,COV,2,2,20000,0.026934434499999996,0.0006755561461175191,0.25775000000000003,0.0
